region,road_class,tech_or_group,vintage,period,period_step,output_comm,operator,factor,baseline_utilization,age_first_year,age_last_year,unit,data_source,data_id,dq_cred,dq_geog,dq_struc,dq_tech,dq_time
AB,medium_trucks,T_MDV_T_DSL_EX,2020,2035,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_EX,2020,2040,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_EX,2023,2025,5,T_D_tkm_mdv_t,e,0.009856949583132104,0.012091638417374645,3,7,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_EX,2023,2030,5,T_D_tkm_mdv_t,e,0.006206007357292347,0.012091638417374645,8,12,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_EX,2023,2035,5,T_D_tkm_mdv_t,e,0.0039183211413885075,0.012091638417374645,13,17,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_EX,2023,2040,5,T_D_tkm_mdv_t,e,0.002469256318538708,0.012091638417374645,18,22,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2025,2025,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2025,2030,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2025,2035,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2025,2040,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2025,2045,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2030,2030,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2030,2035,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2030,2040,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2030,2045,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2035,2035,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2035,2040,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2035,2045,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2040,2040,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2040,2045,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_HEV_N,2045,2045,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2025,2025,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2025,2030,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2025,2035,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2025,2040,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2025,2045,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2030,2030,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2030,2035,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2030,2040,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2030,2045,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2035,2035,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2035,2040,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2035,2045,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2040,2040,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2040,2045,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_N,2045,2045,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2025,2025,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2025,2030,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2025,2035,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2025,2040,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2025,2045,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2030,2030,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2030,2035,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2030,2040,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2030,2045,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2035,2035,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2035,2040,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2035,2045,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2040,2040,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2040,2045,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_DSL_PHEV_N,2045,2045,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2025,2025,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2025,2030,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2025,2035,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2025,2040,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2025,2045,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2030,2030,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2030,2035,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2030,2040,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2030,2045,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2035,2035,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2035,2040,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2035,2045,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2040,2040,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2040,2045,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCEV_N,2045,2045,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2025,2025,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2025,2030,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2025,2035,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2025,2040,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2025,2045,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2030,2030,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2030,2035,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2030,2040,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2030,2045,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2035,2035,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2035,2040,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2035,2045,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2040,2040,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2040,2045,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_FCHEV_N,2045,2045,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2005,2025,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2010,2025,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2010,2030,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2015,2025,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2015,2030,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2015,2035,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2020,2025,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2020,2030,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2020,2035,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2020,2040,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2023,2025,5,T_D_tkm_mdv_t,e,0.009856949583132104,0.012091638417374645,3,7,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2023,2030,5,T_D_tkm_mdv_t,e,0.006206007357292347,0.012091638417374645,8,12,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2023,2035,5,T_D_tkm_mdv_t,e,0.0039183211413885075,0.012091638417374645,13,17,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_EX,2023,2040,5,T_D_tkm_mdv_t,e,0.002469256318538708,0.012091638417374645,18,22,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2025,2025,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2025,2030,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2025,2035,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2025,2040,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2025,2045,5,T_D_tkm_mdv_t,e,0.0018711096022613668,0.012091638417374645,21,25,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2030,2030,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2030,2035,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2030,2040,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2030,2045,5,T_D_tkm_mdv_t,e,0.002971562731651922,0.012091638417374645,16,20,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2035,2035,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2035,2040,5,T_D_tkm_mdv_t,e,0.007477068726116589,0.012091638417374645,6,10,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2035,2045,5,T_D_tkm_mdv_t,e,0.004707156174979901,0.012091638417374645,11,15,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
AB,medium_trucks,T_MDV_T_GSL_N,2040,2040,5,T_D_tkm_mdv_t,e,0.011256432510452991,0.012091638417374645,1,5,dimensionless,T01,road-utilization-age-medium-trucks-ab:composite:1:f5e9fa0aa920bd64,5,5,5,5,5
